,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,date,neutral,home_score,away_score,penalty,own_goal,home_goal,away_goal
0,0,0,0,1916-07-02,1,0,4,0,0,0,1
1,1,1,1,1916-07-02,1,0,4,0,0,0,1
2,2,2,2,1916-07-02,1,0,4,0,0,0,1
3,3,3,3,1916-07-02,1,0,4,0,0,0,1
4,4,4,4,1916-07-06,0,6,1,0,0,1,0
5,5,5,5,1916-07-06,0,6,1,0,0,0,1
6,6,6,6,1916-07-06,0,6,1,1,0,1,0
7,7,7,7,1916-07-06,0,6,1,1,0,1,0
8,8,8,8,1916-07-06,0,6,1,0,0,1,0
9,9,9,9,1916-07-06,0,6,1,0,0,1,0
10,10,10,10,1916-07-06,0,6,1,0,0,1,0
11,11,11,11,1916-07-08,1,1,1,0,0,1,0
12,12,12,12,1916-07-08,1,1,1,0,0,0,1
13,13,13,13,1916-07-10,0,1,1,0,0,1,0
14,14,14,14,1916-07-10,0,1,1,0,0,0,1
15,15,15,15,1916-07-12,1,1,2,0,0,1,0
16,16,16,16,1916-07-12,1,1,2,0,0,0,1
17,17,17,17,1916-07-12,1,1,2,0,0,0,1
18,18,18,18,1917-09-30,0,4,0,0,0,1,0
19,19,19,19,1917-09-30,0,4,0,0,0,1,0
20,20,20,20,1917-09-30,0,4,0,1,0,1,0
21,21,21,21,1917-09-30,0,4,0,0,0,1,0
22,22,22,22,1917-10-03,1,4,2,0,0,0,1
23,23,23,23,1917-10-03,1,4,2,0,0,1,0
24,24,24,24,1917-10-03,1,4,2,1,0,0,1
25,25,25,25,1917-10-03,1,4,2,1,0,1,0
26,26,26,26,1917-10-03,1,4,2,1,0,1,0
27,27,27,27,1917-10-03,1,4,2,0,0,1,0
28,28,28,28,1917-10-06,1,1,0,0,1,1,0
29,29,29,29,1917-10-07,0,4,0,0,0,1,0
30,30,30,30,1917-10-07,0,4,0,0,0,1,0
31,31,31,31,1917-10-07,0,4,0,0,0,1,0
32,32,32,32,1917-10-07,0,4,0,0,0,1,0
33,33,33,33,1917-10-12,1,5,0,0,0,1,0
34,34,34,34,1917-10-12,1,5,0,0,0,1,0
35,35,35,35,1917-10-12,1,5,0,0,0,1,0
36,36,36,36,1917-10-12,1,5,0,0,0,1,0
37,37,37,37,1917-10-12,1,5,0,0,0,1,0
38,38,38,38,1917-10-14,0,1,0,0,0,1,0
39,39,39,39,1919-05-11,0,6,0,0,0,1,0
40,40,40,40,1919-05-11,0,6,0,0,0,1,0
41,41,41,41,1919-05-11,0,6,0,0,0,1,0
42,42,42,42,1919-05-11,0,6,0,0,0,1,0
43,43,43,43,1919-05-11,0,6,0,0,0,1,0
44,44,44,44,1919-05-11,0,6,0,0,0,1,0
45,45,45,45,1919-05-13,1,2,3,0,0,0,1
46,46,46,46,1919-05-13,1,2,3,0,0,0,1
47,47,47,47,1919-05-13,1,2,3,0,0,1,0
48,48,48,48,1919-05-13,1,2,3,0,1,1,0
49,49,49,49,1919-05-13,1,2,3,0,0,0,1
50,50,50,50,1919-05-17,1,0,2,0,0,0,1
51,51,51,51,1919-05-17,1,0,2,0,0,0,1
52,52,52,52,1919-05-18,0,3,1,0,0,1,0
53,53,53,53,1919-05-18,0,3,1,0,0,1,0
54,54,54,54,1919-05-18,0,3,1,0,0,0,1
55,55,55,55,1919-05-18,0,3,1,0,0,1,0
56,56,56,56,1919-05-22,1,4,1,0,0,1,0
57,57,57,57,1919-05-22,1,4,1,0,0,1,0
58,58,58,58,1919-05-22,1,4,1,0,0,1,0
59,59,59,59,1919-05-22,1,4,1,0,0,0,1
60,60,60,60,1919-05-22,1,4,1,0,0,1,0
61,61,61,61,1919-05-26,0,2,2,0,0,0,1
62,62,62,62,1919-05-26,0,2,2,0,0,0,1
63,63,63,63,1919-05-26,0,2,2,0,0,1,0
64,64,64,64,1919-05-26,0,2,2,0,0,1,0
65,65,65,65,1919-05-29,0,1,0,0,0,1,0
66,66,66,66,1920-09-11,0,0,1,0,0,0,1
67,67,67,67,1920-09-12,1,1,1,0,0,1,0
68,68,68,68,1920-09-12,1,1,1,0,0,0,1
69,69,69,69,1920-09-18,1,0,6,0,0,0,1
70,70,70,70,1920-09-18,1,0,6,1,0,0,1
71,71,71,71,1920-09-18,1,0,6,0,0,0,1
72,72,72,72,1920-09-18,1,0,6,0,0,0,1
73,73,73,73,1920-09-18,1,0,6,0,0,0,1
74,74,74,74,1920-09-18,1,0,6,0,0,0,1
75,75,75,75,1920-09-20,0,1,1,0,0,0,1
76,76,76,76,1920-09-20,0,1,1,0,0,1,0
77,77,77,77,1920-09-25,1,2,0,0,0,1,0
78,78,78,78,1920-09-25,1,2,0,0,0,1,0
79,79,79,79,1920-10-03,0,1,2,0,0,0,1
80,80,80,80,1920-10-03,0,1,2,0,0,1,0
81,81,81,81,1920-10-03,0,1,2,0,0,0,1
82,82,82,82,1921-10-02,0,1,0,0,0,1,0
83,83,83,83,1921-10-09,1,2,1,0,0,1,0
84,84,84,84,1921-10-09,1,2,1,0,0,1,0
85,85,85,85,1921-10-09,1,2,1,0,0,0,1
86,86,86,86,1921-10-12,1,3,0,0,0,1,0
87,87,87,87,1921-10-12,1,3,0,0,0,1,0
88,88,88,88,1921-10-12,1,3,0,0,0,1,0
89,89,89,89,1921-10-16,0,3,0,0,0,1,0
90,90,90,90,1921-10-16,0,3,0,0,0,1,0
91,91,91,91,1921-10-16,0,3,0,0,0,1,0
92,92,92,92,1921-10-23,1,1,2,0,0,0,1
93,93,93,93,1921-10-23,1,1,2,0,0,0,1
94,94,94,94,1921-10-23,1,1,2,0,0,1,0
95,95,95,95,1921-10-30,0,1,0,0,0,1,0
96,96,96,96,1922-09-17,0,1,1,0,0,1,0
97,97,97,97,1922-09-17,0,1,1,0,0,0,1
98,98,98,98,1922-09-23,1,0,2,0,0,0,1
99,99,99,99,1922-09-23,1,0,2,1,0,0,1
100,100,100,100,1922-09-24,0,1,1,0,0,1,0
101,101,101,101,1922-09-24,0,1,1,0,0,0,1
102,102,102,102,1922-09-28,1,4,0,0,0,1,0
103,103,103,103,1922-09-28,1,4,0,0,0,1,0
104,104,104,104,1922-09-28,1,4,0,0,0,1,0
105,105,105,105,1922-09-28,1,4,0,0,0,1,0
106,106,106,106,1922-10-05,1,0,3,0,0,0,1
107,107,107,107,1922-10-05,1,0,3,0,0,0,1
108,108,108,108,1922-10-05,1,0,3,0,0,0,1
109,109,109,109,1922-10-08,1,0,1,0,0,0,1
110,110,110,110,1922-10-12,1,1,0,0,0,1,0
111,111,111,111,1922-10-15,0,2,0,0,0,1,0
112,112,112,112,1922-10-15,0,2,0,1,0,1,0
113,113,113,113,1922-10-18,1,2,0,0,0,1,0
114,114,114,114,1922-10-18,1,2,0,1,0,1,0
115,115,115,115,1922-10-22,0,3,0,0,0,1,0
116,116,116,116,1922-10-22,0,3,0,0,0,1,0
117,117,117,117,1922-10-22,0,3,0,0,0,1,0
118,118,118,118,1923-10-29,1,4,3,0,0,0,1
119,119,119,119,1923-10-29,1,4,3,0,0,1,0
120,120,120,120,1923-10-29,1,4,3,0,0,0,1
121,121,121,121,1923-10-29,1,4,3,0,0,1,0
122,122,122,122,1923-10-29,1,4,3,0,0,0,1
123,123,123,123,1923-10-29,1,4,3,0,0,1,0
124,124,124,124,1923-10-29,1,4,3,0,0,1,0
125,125,125,125,1923-11-04,0,2,0,0,0,1,0
126,126,126,126,1923-11-04,0,2,0,0,0,1,0
127,127,127,127,1923-11-11,1,0,1,0,0,0,1
128,128,128,128,1923-11-18,1,2,1,0,0,1,0
129,129,129,129,1923-11-18,1,2,1,0,0,0,1
130,130,130,130,1923-11-18,1,2,1,0,0,1,0
131,131,131,131,1923-11-25,0,2,1,0,0,1,0
132,132,132,132,1923-11-25,0,2,1,0,0,0,1
133,133,133,133,1923-11-25,0,2,1,0,0,1,0
134,134,134,134,1923-12-02,0,2,0,0,0,1,0
135,135,135,135,1923-12-02,0,2,0,0,0,1,0
136,136,136,136,1924-10-19,0,5,0,0,0,1,0
137,137,137,137,1924-10-19,0,5,0,0,0,1,0
138,138,138,138,1924-10-19,0,5,0,0,0,1,0
139,139,139,139,1924-10-19,0,5,0,0,0,1,0
140,140,140,140,1924-10-19,0,5,0,0,0,1,0
141,141,141,141,1924-10-25,1,2,0,0,0,1,0
142,142,142,142,1924-10-25,1,2,0,0,0,1,0
143,143,143,143,1924-10-26,0,3,1,0,0,1,0
144,144,144,144,1924-10-26,0,3,1,0,0,1,0
145,145,145,145,1924-10-26,0,3,1,0,0,1,0
146,146,146,146,1924-10-26,0,3,1,0,0,0,1
147,147,147,147,1924-11-01,1,1,3,0,0,1,0
148,148,148,148,1924-11-01,1,1,3,0,0,0,1
149,149,149,149,1924-11-01,1,1,3,0,0,0,1
150,150,150,150,1924-11-01,1,1,3,0,0,0,1
151,151,151,151,1925-11-29,0,2,0,0,0,1,0
152,152,152,152,1925-11-29,0,2,0,0,0,1,0
153,153,153,153,1925-12-06,1,5,2,0,0,1,0
154,154,154,154,1925-12-06,1,5,2,0,0,1,0
155,155,155,155,1925-12-06,1,5,2,0,0,0,1
156,156,156,156,1925-12-06,1,5,2,0,0,1,0
157,157,157,157,1925-12-06,1,5,2,0,0,1,0
158,158,158,158,1925-12-06,1,5,2,0,0,0,1
159,159,159,159,1925-12-06,1,5,2,0,0,1,0
160,160,160,160,1925-12-13,0,4,1,0,0,0,1
161,161,161,161,1925-12-13,0,4,1,0,0,1,0
162,162,162,162,1925-12-13,0,4,1,0,0,1,0
163,163,163,163,1925-12-13,0,4,1,0,0,1,0
164,164,164,164,1925-12-13,0,4,1,0,0,1,0
165,165,165,165,1925-12-17,1,3,1,0,0,1,0
166,166,166,166,1925-12-17,1,3,1,0,0,1,0
167,167,167,167,1925-12-17,1,3,1,0,0,0,1
168,168,168,168,1925-12-17,1,3,1,0,0,1,0
169,169,169,169,1925-12-20,0,3,1,0,0,0,1
170,170,170,170,1925-12-20,0,3,1,0,0,1,0
171,171,171,171,1925-12-20,0,3,1,0,0,1,0
172,172,172,172,1925-12-20,0,3,1,0,0,1,0
173,173,173,173,1925-12-25,0,2,2,0,0,0,1
174,174,174,174,1925-12-25,0,2,2,0,0,0,1
175,175,175,175,1925-12-25,0,2,2,0,0,1,0
176,176,176,176,1925-12-25,0,2,2,0,0,1,0
177,177,177,177,1926-10-12,0,7,1,0,0,1,0
178,178,178,178,1926-10-12,0,7,1,0,0,1,0
179,179,179,179,1926-10-12,0,7,1,0,0,1,0
180,180,180,180,1926-10-12,0,7,1,0,0,1,0
181,181,181,181,1926-10-12,0,7,1,0,0,1,0
182,182,182,182,1926-10-12,0,7,1,0,0,0,1
183,183,183,183,1926-10-12,0,7,1,0,0,1,0
184,184,184,184,1926-10-12,0,7,1,0,0,1,0
185,185,185,185,1926-10-16,1,5,0,0,0,1,0
186,186,186,186,1926-10-16,1,5,0,0,0,1,0
187,187,187,187,1926-10-16,1,5,0,0,0,1,0
188,188,188,188,1926-10-16,1,5,0,0,0,1,0
189,189,189,189,1926-10-16,1,5,0,0,0,1,0
190,190,190,190,1926-10-17,0,1,3,0,0,0,1
191,191,191,191,1926-10-17,0,1,3,0,0,0,1
192,192,192,192,1926-10-17,0,1,3,0,0,0,1
193,193,193,193,1926-10-17,0,1,3,1,0,1,0
194,194,194,194,1926-10-20,1,8,0,0,0,1,0
195,195,195,195,1926-10-20,1,8,0,0,0,1,0
196,196,196,196,1926-10-20,1,8,0,0,0,1,0
197,197,197,197,1926-10-20,1,8,0,0,0,1,0
198,198,198,198,1926-10-20,1,8,0,0,0,1,0
199,199,199,199,1926-10-20,1,8,0,0,0,1,0
200,200,200,200,1926-10-20,1,8,0,0,0,1,0
201,201,201,201,1926-10-20,1,8,0,0,0,1,0
202,202,202,202,1926-10-23,1,1,6,0,0,1,0
203,203,203,203,1926-10-23,1,1,6,0,0,0,1
204,204,204,204,1926-10-23,1,1,6,0,0,0,1
205,205,205,205,1926-10-23,1,1,6,0,0,0,1
206,206,206,206,1926-10-23,1,1,6,0,0,0,1
207,207,207,207,1926-10-23,1,1,6,0,0,0,1
208,208,208,208,1926-10-23,1,1,6,0,0,0,1
209,209,209,209,1926-10-24,1,0,2,0,0,0,1
210,210,210,210,1926-10-24,1,0,2,0,0,0,1
211,211,211,211,1926-10-28,1,0,6,0,0,0,1
212,212,212,212,1926-10-28,1,0,6,0,0,0,1
213,213,213,213,1926-10-28,1,0,6,0,0,0,1
214,214,214,214,1926-10-28,1,0,6,0,0,0,1
215,215,215,215,1926-10-28,1,0,6,0,0,0,1
216,216,216,216,1926-10-28,1,0,6,0,0,0,1
217,217,217,217,1926-10-31,0,1,1,0,0,1,0
218,218,218,218,1926-10-31,0,1,1,0,0,0,1
219,219,219,219,1926-11-01,1,1,6,0,0,0,1
220,220,220,220,1926-11-01,1,1,6,0,0,0,1
221,221,221,221,1926-11-01,1,1,6,0,0,0,1
222,222,222,222,1926-11-01,1,1,6,1,0,0,1
223,223,223,223,1926-11-01,1,1,6,1,0,1,0
224,224,224,224,1926-11-01,1,1,6,0,0,0,1
225,225,225,225,1926-11-01,1,1,6,0,0,0,1
226,226,226,226,1926-11-03,0,5,1,0,0,1,0
227,227,227,227,1926-11-03,0,5,1,0,0,0,1
228,228,228,228,1926-11-03,0,5,1,0,0,1,0
229,229,229,229,1926-11-03,0,5,1,0,0,1,0
230,230,230,230,1926-11-03,0,5,1,0,0,1,0
231,231,231,231,1926-11-03,0,5,1,0,0,1,0
232,232,232,232,1927-10-30,1,7,1,0,0,1,0
233,233,233,233,1927-10-30,1,7,1,0,0,1,0
234,234,234,234,1927-10-30,1,7,1,1,0,1,0
235,235,235,235,1927-10-30,1,7,1,0,0,1,0
236,236,236,236,1927-10-30,1,7,1,0,0,1,0
237,237,237,237,1927-10-30,1,7,1,0,0,0,1
238,238,238,238,1927-10-30,1,7,1,0,0,1,0
239,239,239,239,1927-10-30,1,7,1,0,0,1,0
240,240,240,240,1927-11-01,0,0,4,0,1,0,1
241,241,241,241,1927-11-01,0,0,4,0,0,0,1
242,242,242,242,1927-11-01,0,0,4,0,0,0,1
243,243,243,243,1927-11-01,0,0,4,0,0,0,1
244,244,244,244,1927-11-06,1,0,9,0,0,0,1
245,245,245,245,1927-11-06,1,0,9,0,0,0,1
246,246,246,246,1927-11-06,1,0,9,0,0,0,1
247,247,247,247,1927-11-06,1,0,9,0,0,0,1
248,248,248,248,1927-11-06,1,0,9,0,0,0,1
249,249,249,249,1927-11-06,1,0,9,0,0,0,1
250,250,250,250,1927-11-06,1,0,9,0,0,0,1
251,251,251,251,1927-11-06,1,0,9,0,0,0,1
252,252,252,252,1927-11-06,1,0,9,0,0,0,1
253,253,253,253,1927-11-13,0,3,2,0,0,0,1
254,254,254,254,1927-11-13,0,3,2,0,0,0,1
255,255,255,255,1927-11-13,0,3,2,0,0,1,0
256,256,256,256,1927-11-13,0,3,2,0,0,1,0
257,257,257,257,1927-11-13,0,3,2,0,0,1,0
258,258,258,258,1927-11-20,1,3,2,0,0,0,1
259,259,259,259,1927-11-20,1,3,2,1,0,1,0
260,260,260,260,1927-11-20,1,3,2,0,0,1,0
261,261,261,261,1927-11-20,1,3,2,0,0,0,1
262,262,262,262,1927-11-20,1,3,2,0,1,1,0
263,263,263,263,1927-11-27,0,1,5,0,0,0,1
264,264,264,264,1927-11-27,0,1,5,0,0,1,0
265,265,265,265,1927-11-27,0,1,5,0,0,0,1
266,266,266,266,1927-11-27,0,1,5,0,0,0,1
267,267,267,267,1927-11-27,0,1,5,0,0,0,1
268,268,268,268,1927-11-27,0,1,5,0,0,0,1
269,269,269,269,1929-11-01,1,3,0,0,0,1,0
270,270,270,270,1929-11-01,1,3,0,0,0,1,0
271,271,271,271,1929-11-01,1,3,0,0,0,1,0
272,272,272,272,1929-11-03,0,3,0,0,0,1,0
273,273,273,273,1929-11-03,0,3,0,0,0,1,0
274,274,274,274,1929-11-03,0,3,0,0,0,1,0
275,275,275,275,1929-11-10,0,4,1,0,0,1,0
276,276,276,276,1929-11-10,0,4,1,0,0,1,0
277,277,277,277,1929-11-10,0,4,1,0,0,1,0
278,278,278,278,1929-11-10,0,4,1,0,0,1,0
279,279,279,279,1929-11-10,0,4,1,0,0,0,1
280,280,280,280,1929-11-11,1,1,4,0,0,0,1
281,281,281,281,1929-11-11,1,1,4,0,0,0,1
282,282,282,282,1929-11-11,1,1,4,0,0,0,1
283,283,283,283,1929-11-11,1,1,4,0,0,0,1
284,284,284,284,1929-11-11,1,1,4,0,0,1,0
285,285,285,285,1929-11-16,1,5,0,0,0,1,0
286,286,286,286,1929-11-16,1,5,0,0,0,1,0
287,287,287,287,1929-11-16,1,5,0,0,0,1,0
288,288,288,288,1929-11-16,1,5,0,0,0,1,0
289,289,289,289,1929-11-16,1,5,0,0,0,1,0
290,290,290,290,1929-11-17,0,2,0,0,0,1,0
291,291,291,291,1929-11-17,0,2,0,0,0,1,0
292,292,292,292,1930-07-13,1,0,3,0,0,0,1
293,293,293,293,1930-07-13,1,0,3,0,0,0,1
294,294,294,294,1930-07-13,1,0,3,0,0,0,1
295,295,295,295,1930-07-13,1,4,1,0,0,1,0
296,296,296,296,1930-07-13,1,4,1,0,0,1,0
297,297,297,297,1930-07-13,1,4,1,0,0,1,0
298,298,298,298,1930-07-13,1,4,1,0,0,0,1
299,299,299,299,1930-07-13,1,4,1,0,0,1,0
300,300,300,300,1930-07-14,1,1,2,0,0,0,1
301,301,301,301,1930-07-14,1,1,2,0,0,0,1
302,302,302,302,1930-07-14,1,1,2,0,0,1,0
303,303,303,303,1930-07-14,1,1,3,0,0,0,1
304,304,304,304,1930-07-14,1,1,3,0,0,1,0
305,305,305,305,1930-07-14,1,1,3,0,0,0,1
306,306,306,306,1930-07-14,1,1,3,0,0,0,1
307,307,307,307,1930-07-15,1,1,0,0,0,1,0
308,308,308,308,1930-07-16,1,3,0,0,0,1,0
309,309,309,309,1930-07-16,1,3,0,0,1,1,0
310,310,310,310,1930-07-16,1,3,0,0,0,1,0
311,311,311,311,1930-07-17,1,0,4,0,0,0,1
312,312,312,312,1930-07-17,1,0,4,0,0,0,1
313,313,313,313,1930-07-17,1,0,4,0,0,0,1
314,314,314,314,1930-07-17,1,0,4,0,0,0,1
315,315,315,315,1930-07-17,1,0,3,0,0,0,1
316,316,316,316,1930-07-17,1,0,3,0,0,0,1
317,317,317,317,1930-07-17,1,0,3,0,0,0,1
318,318,318,318,1930-07-18,0,1,0,0,0,1,0
319,319,319,319,1930-07-19,1,6,3,0,0,1,0
320,320,320,320,1930-07-19,1,6,3,0,0,1,0
321,321,321,321,1930-07-19,1,6,3,0,0,1,0
322,322,322,322,1930-07-19,1,6,3,1,0,0,1
323,323,323,323,1930-07-19,1,6,3,0,0,1,0
324,324,324,324,1930-07-19,1,6,3,0,0,1,0
325,325,325,325,1930-07-19,1,6,3,0,0,0,1
326,326,326,326,1930-07-19,1,6,3,0,0,0,1
327,327,327,327,1930-07-19,1,6,3,0,0,1,0
328,328,328,328,1930-07-19,1,1,0,0,0,1,0
329,329,329,329,1930-07-20,1,0,1,0,0,0,1
330,330,330,330,1930-07-20,1,0,4,0,0,0,1
331,331,331,331,1930-07-20,1,0,4,0,0,0,1
332,332,332,332,1930-07-20,1,0,4,0,0,0,1
333,333,333,333,1930-07-20,1,0,4,0,0,0,1
334,334,334,334,1930-07-21,0,4,0,0,0,1,0
335,335,335,335,1930-07-21,0,4,0,0,0,1,0
336,336,336,336,1930-07-21,0,4,0,0,0,1,0
337,337,337,337,1930-07-21,0,4,0,0,0,1,0
338,338,338,338,1930-07-22,1,3,1,0,0,1,0
339,339,339,339,1930-07-22,1,3,1,0,0,1,0
