home_team,total_goals,total_matches
Afghanistan,25.0,32
Albania,51.0,241
Algeria,66.0,264
American Samoa,2.0,40
Andorra,65.0,177
Angola,24.0,117
Anguilla,9.0,17
Antigua and Barbuda,15.0,61
Argentina,115.0,955
Armenia,77.0,187
Aruba,18.0,44
Australia,115.0,527
Austria,73.0,467
Azerbaijan,61.0,157
Bahamas,9.0,34
Bahrain,32.0,147
Bangladesh,23.0,87
Barbados,4.0,38
Belarus,50.0,164
Belgium,134.0,536
Belize,10.0,40
Benin,14.0,67
Bermuda,13.0,65
Bhutan,21.0,21
Bolivia,72.0,498
Bosnia and Herzegovina,82.0,193
Botswana,12.0,47
Brazil,160.0,1021
British Virgin Islands,11.0,21
Brunei,5.0,36
Bulgaria,61.0,425
Burkina Faso,53.0,166
Burundi,11.0,23
Cambodia,35.0,67
Cameroon,69.0,324
Canada,68.0,218
Cape Verde,21.0,46
Cayman Islands,17.0,38
Central African Republic,10.0,13
Chad,6.0,24
Chile,97.0,631
China PR,73.0,297
Colombia,81.0,388
Comoros,3.0,8
Congo,34.0,129
Cook Islands,3.0,18
Costa Rica,84.0,346
Croatia,100.0,258
Cuba,17.0,104
Curaçao,14.0,48
Cyprus,59.0,355
Czech Republic,60.0,265
DR Congo,34.0,192
Denmark,85.0,454
Djibouti,23.0,43
Dominica,13.0,43
Dominican Republic,6.0,49
Ecuador,86.0,394
Egypt,45.0,352
El Salvador,40.0,228
England,124.0,508
Equatorial Guinea,19.0,42
Eritrea,5.0,7
Estonia,57.0,186
Eswatini,3.0,15
Ethiopia,27.0,133
Faroe Islands,58.0,230
Fiji,14.0,107
Finland,46.0,363
France,119.0,606
French Guiana,6.0,6
Gabon,25.0,100
Gambia,11.0,28
Georgia,42.0,146
Germany,148.0,753
Ghana,58.0,255
Gibraltar,90.0,90
Greece,58.0,355
Grenada,14.0,68
Guadeloupe,3.0,13
Guam,24.0,24
Guatemala,36.0,172
Guinea,35.0,152
Guinea-Bissau,16.0,26
Guyana,20.0,55
Haiti,30.0,148
Honduras,77.0,289
Hong Kong,19.0,140
Hungary,81.0,502
Iceland,72.0,283
India,20.0,77
Indonesia,12.0,123
Iran,79.0,321
Iraq,56.0,233
Israel,72.0,347
Italy,93.0,510
Ivory Coast,65.0,261
Jamaica,59.0,187
Japan,125.0,369
Jordan,38.0,119
Kazakhstan,59.0,160
Kenya,15.0,99
Kosovo,38.0,38
Kuwait,36.0,197
Kyrgyzstan,27.0,65
Laos,14.0,50
Latvia,64.0,191
Lebanon,40.0,111
Lesotho,8.0,22
Liberia,21.0,71
Libya,16.0,97
Liechtenstein,67.0,216
Lithuania,60.0,177
Luxembourg,60.0,414
Macau,3.0,80
Madagascar,25.0,64
Malawi,17.0,83
Malaysia,34.0,117
Maldives,24.0,93
Mali,36.0,115
Malta,81.0,309
Martinique,14.0,16
Mauritania,13.0,28
Mauritius,8.0,37
Mexico,107.0,626
Moldova,63.0,168
Mongolia,7.0,18
Montenegro,63.0,90
Montserrat,10.0,36
Morocco,61.0,235
Mozambique,6.0,48
Myanmar,27.0,40
Namibia,21.0,75
Nepal,9.0,52
Netherlands,117.0,590
New Caledonia,14.0,80
New Zealand,43.0,297
Nicaragua,13.0,33
Niger,30.0,52
Nigeria,60.0,310
North Korea,22.0,142
North Macedonia,68.0,190
Northern Ireland,49.0,317
Norway,64.0,354
Oman,38.0,128
Pakistan,3.0,69
Palestine,31.0,59
Panama,102.0,185
Papua New Guinea,26.0,44
Paraguay,70.0,415
Peru,76.0,405
Philippines,30.0,42
Poland,103.0,419
Portugal,103.0,492
Puerto Rico,10.0,37
Qatar,78.0,261
Republic of Ireland,55.0,380
Romania,51.0,414
Russia,87.0,470
Rwanda,21.0,60
Saint Kitts and Nevis,20.0,74
Saint Vincent and the Grenadines,25.0,104
Samoa,5.0,51
San Marino,107.0,305
Saudi Arabia,69.0,345
Scotland,81.0,394
Senegal,47.0,144
Serbia,84.0,212
Seychelles,4.0,23
Sierra Leone,14.0,59
Singapore,21.0,122
Slovakia,51.0,213
Slovenia,56.0,197
Solomon Islands,27.0,121
Somalia,3.0,5
South Africa,35.0,155
South Korea,92.0,388
South Sudan,4.0,4
Spain,124.0,587
Sri Lanka,7.0,47
Sudan,17.0,112
Suriname,19.0,78
Sweden,94.0,468
Switzerland,89.0,398
Syria,53.0,181
São Tomé and Príncipe,2.0,10
Tahiti,18.0,90
Taiwan,21.0,77
Tajikistan,24.0,70
Tanzania,30.0,58
Thailand,41.0,170
Timor-Leste,10.0,15
Togo,17.0,97
Tonga,9.0,31
Trinidad and Tobago,47.0,198
Tunisia,41.0,243
Turkey,69.0,392
Turkmenistan,26.0,87
Turks and Caicos Islands,25.0,34
Uganda,17.0,53
Ukraine,67.0,176
United Arab Emirates,89.0,245
United States,168.0,525
United States Virgin Islands,14.0,45
Uruguay,99.0,486
Uzbekistan,46.0,188
Vanuatu,6.0,55
Venezuela,65.0,303
Vietnam,29.0,84
Wales,63.0,322
Yemen,26.0,83
Zambia,36.0,196
Zimbabwe,28.0,91
Czechoslovakia,,250
Yugoslavia,,212
German DR,,154
Saint Lucia,,40
Yemen DPR,,5
Vietnam Republic,,4
Saarland,,4
